Test: [40/88]	Time 0.141 (0.512)	Loss 0.0002 (0.0013)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [60/88]	Time 0.156 (0.394)	Loss 0.0000 (0.0009)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [80/88]	Time 0.156 (0.334)	Loss 0.0000 (0.0007)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Testing Results: Prec@1 100.000 Prec@2 100.000 Loss 0.00063
Best Prec@1: 100.000

Epoch: [5][0/203], lr: 0.00100	Time 15.165 (15.165)	Data 14.641 (14.641)	Loss 0.2623 (0.2623)	Prec@1 87.500 (87.500)	Prec@2 100.000 (100.000)
Epoch: [5][20/203], lr: 0.00100	Time 0.486 (1.211)	Data 0.000 (0.723)	Loss 0.0065 (0.1539)	Prec@1 100.000 (94.643)	Prec@2 100.000 (98.810)
Epoch: [5][40/203], lr: 0.00100	Time 0.484 (0.857)	Data 0.000 (0.370)	Loss 0.5033 (0.1612)	Prec@1 87.500 (92.988)	Prec@2 100.000 (99.390)
Epoch: [5][60/203], lr: 0.00100	Time 0.484 (0.735)	Data 0.000 (0.249)	Loss 0.0010 (0.1733)	Prec@1 100.000 (92.418)	Prec@2 100.000 (98.975)
Epoch: [5][80/203], lr: 0.00100	Time 0.484 (0.674)	Data 0.000 (0.187)	Loss 0.2712 (0.1683)	Prec@1 87.500 (92.438)	Prec@2 87.500 (99.074)
Epoch: [5][100/203], lr: 0.00100	Time 0.484 (0.636)	Data 0.000 (0.151)	Loss 0.0777 (0.1614)	Prec@1 100.000 (93.193)	Prec@2 100.000 (98.886)
Epoch: [5][120/203], lr: 0.00100	Time 0.484 (0.612)	Data 0.000 (0.126)	Loss 0.0466 (0.1508)	Prec@1 100.000 (93.698)	Prec@2 100.000 (98.864)
Epoch: [5][140/203], lr: 0.00100	Time 0.484 (0.594)	Data 0.000 (0.108)	Loss 0.0229 (0.1594)	Prec@1 100.000 (93.972)	Prec@2 100.000 (98.759)
Epoch: [5][160/203], lr: 0.00100	Time 0.484 (0.580)	Data 0.000 (0.095)	Loss 0.0697 (0.1535)	Prec@1 100.000 (94.099)	Prec@2 100.000 (98.680)
Epoch: [5][180/203], lr: 0.00100	Time 0.484 (0.570)	Data 0.000 (0.084)	Loss 0.0231 (0.1476)	Prec@1 100.000 (94.337)	Prec@2 100.000 (98.826)
Epoch: [5][200/203], lr: 0.00100	Time 0.484 (0.561)	Data 0.000 (0.076)	Loss 0.0007 (0.1387)	Prec@1 100.000 (94.652)	Prec@2 100.000 (98.943)
Test: [0/88]	Time 14.277 (14.277)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [20/88]	Time 0.156 (0.838)	Loss 0.0000 (0.0002)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [40/88]	Time 0.156 (0.503)	Loss 0.0004 (0.0401)	Prec@1 100.000 (98.780)	Prec@2 100.000 (100.000)
Test: [60/88]	Time 0.156 (0.388)	Loss 0.0000 (0.0269)	Prec@1 100.000 (99.180)	Prec@2 100.000 (100.000)
Test: [80/88]	Time 0.150 (0.329)	Loss 0.0000 (0.0203)	Prec@1 100.000 (99.383)	Prec@2 100.000 (100.000)
Testing Results: Prec@1 99.429 Prec@2 100.000 Loss 0.01900
Best Prec@1: 100.000

Epoch: [6][0/203], lr: 0.00100	Time 14.982 (14.982)	Data 14.420 (14.420)	Loss 0.0006 (0.0006)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Epoch: [6][20/203], lr: 0.00100	Time 0.500 (1.184)	Data 0.000 (0.694)	Loss 0.0004 (0.0832)	Prec@1 100.000 (97.619)	Prec@2 100.000 (100.000)
Epoch: [6][40/203], lr: 0.00100	Time 0.484 (0.843)	Data 0.000 (0.356)	Loss 0.0620 (0.0770)	Prec@1 100.000 (97.866)	Prec@2 100.000 (100.000)
Epoch: [6][60/203], lr: 0.00100	Time 0.484 (0.727)	Data 0.000 (0.239)	Loss 0.0067 (0.0927)	Prec@1 100.000 (97.131)	Prec@2 100.000 (99.590)
Epoch: [6][80/203], lr: 0.00100	Time 0.480 (0.667)	Data 0.000 (0.180)	Loss 0.1301 (0.0903)	Prec@1 100.000 (97.068)	Prec@2 100.000 (99.537)
Epoch: [6][100/203], lr: 0.00100	Time 0.484 (0.631)	Data 0.000 (0.144)	Loss 0.0723 (0.0902)	Prec@1 100.000 (97.030)	Prec@2 100.000 (99.505)
Epoch: [6][120/203], lr: 0.00100	Time 0.484 (0.607)	Data 0.000 (0.120)	Loss 0.0008 (0.0947)	Prec@1 100.000 (96.591)	Prec@2 100.000 (99.587)
Epoch: [6][140/203], lr: 0.00100	Time 0.484 (0.590)	Data 0.000 (0.104)	Loss 0.3662 (0.1018)	Prec@1 87.500 (96.188)	Prec@2 87.500 (99.291)
Epoch: [6][160/203], lr: 0.00100	Time 0.500 (0.577)	Data 0.000 (0.091)	Loss 0.0680 (0.1029)	Prec@1 100.000 (96.118)	Prec@2 100.000 (99.224)
Epoch: [6][180/203], lr: 0.00100	Time 0.484 (0.567)	Data 0.000 (0.081)	Loss 0.4512 (0.1086)	Prec@1 87.500 (95.925)	Prec@2 87.500 (99.240)
Epoch: [6][200/203], lr: 0.00100	Time 0.484 (0.559)	Data 0.000 (0.073)	Loss 0.2506 (0.1053)	Prec@1 87.500 (96.020)	Prec@2 100.000 (99.254)
Test: [0/88]	Time 14.012 (14.012)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [20/88]	Time 0.156 (0.833)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [40/88]	Time 0.141 (0.501)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
