frame 474 : x_577.7118110656738, y_466.4070725440979
frame 475 : x_575.140552520752, y_434.6126174926758
frame 476 : x_576.0457611083984, y_410.7858896255493
frame 477 : x_578.3120346069336, y_394.32143926620483
frame 478 : x_580.671272277832, y_387.12626338005066
frame 479 : x_582.2600746154785, y_395.68119049072266
frame 480 : x_581.39892578125, y_419.2315864562988
frame 481 : x_578.6502456665039, y_457.9504323005676
frame 482 : x_577.4403762817383, y_500.6828713417053
frame 483 : x_577.4334907531738, y_490.6484270095825
frame 484 : x_576.6873550415039, y_456.5877842903137
frame 485 : x_576.4141273498535, y_431.47992610931396
frame 486 : x_578.8822174072266, y_411.4829635620117
frame 487 : x_584.7294616699219, y_395.0613856315613
frame 488 : x_593.076171875, y_383.22465777397156
frame 489 : x_599.27001953125, y_379.6354007720947
frame 490 : x_603.6319541931152, y_387.28060841560364
frame 491 : x_603.8132858276367, y_411.801438331604
frame 492 : x_601.739616394043, y_450.8620834350586
frame 493 : x_599.1730880737305, y_496.174635887146
frame 494 : x_596.2761116027832, y_499.17203664779663
frame 495 : x_593.6613464355469, y_463.64317417144775
frame 496 : x_589.9816703796387, y_433.0611205101013
frame 497 : x_590.0345611572266, y_411.3042211532593
frame 498 : x_592.8213119506836, y_396.19853496551514
frame 499 : x_594.7183990478516, y_390.4060363769531
frame 500 : x_595.1417922973633, y_399.967896938324
frame 501 : x_592.3870277404785, y_428.20735216140747
frame 502 : x_585.0428009033203, y_473.09442043304443
frame 503 : x_579.611930847168, y_513.1175065040588
frame 504 : x_574.9665641784668, y_477.18839406967163
frame 505 : x_570.342903137207, y_444.78291034698486
frame 506 : x_571.5115547180176, y_421.58087968826294
frame 507 : x_575.4290390014648, y_404.3857741355896
frame 508 : x_581.7439079284668, y_394.28794384002686
frame 509 : x_585.968132019043, y_396.39530181884766
frame 510 : x_586.9077682495117, y_415.39291620254517
frame 511 : x_584.534797668457, y_448.8667559623718
frame 512 : x_581.9264030456543, y_489.85910654067993
frame 513 : x_579.9390411376953, y_498.50210666656494
frame 514 : x_578.951244354248, y_464.4955801963806
frame 515 : x_577.9424285888672, y_434.3764114379883
frame 516 : x_579.4980239868164, y_411.7904305458069
frame 517 : x_581.6691589355469, y_396.5993857383728
frame 518 : x_585.5813217163086, y_389.6475398540497
frame 519 : x_586.6580390930176, y_395.7341480255127
frame 520 : x_585.0672340393066, y_420.2179527282715
frame 521 : x_580.958251953125, y_460.5208468437195
frame 522 : x_580.2569961547852, y_507.02155351638794
frame 523 : x_579.3014526367188, y_487.7196264266968
frame 524 : x_578.1168174743652, y_453.82455110549927
frame 525 : x_577.873649597168, y_425.4196572303772
frame 526 : x_579.989128112793, y_403.65031242370605
frame 527 : x_581.6949844360352, y_388.44128608703613
frame 528 : x_583.1114768981934, y_383.2018804550171
frame 529 : x_583.5700607299805, y_391.8559527397156
frame 530 : x_581.5349388122559, y_416.24645948410034
frame 531 : x_579.208812713623, y_453.8586902618408
frame 532 : x_576.7391967773438, y_495.7029962539673
frame 533 : x_576.3715934753418, y_495.0030040740967
frame 534 : x_576.3822746276855, y_461.93795442581177
frame 535 : x_575.9073448181152, y_432.4274969100952
frame 536 : x_577.9341316223145, y_410.54007053375244
frame 537 : x_581.1158180236816, y_393.7623167037964
frame 538 : x_585.5902481079102, y_384.13623332977295
frame 539 : x_588.8578796386719, y_385.5360782146454
frame 540 : x_589.285888671875, y_401.06122970581055
frame 541 : x_585.9145927429199, y_431.74514293670654
frame 542 : x_581.9038200378418, y_472.9714250564575
